text,label
"My password is secret123",1
"social security number 123-45-6789",1
"credit card number 4111 2222 3333 4444",1
"please find my ssn here",1
"here is my private address 123 Main St",1
"dont share this code",1
"confidential document attached",1
"hello how are you",0
"the weather is nice today",0
"this is a public announcement",0
"generic placeholder text",0
"standard operating procedure",0
"welcome to the encryption system",0
"This is generic information about birds.",0
"I am a software engineer.",0
"The meeting is at 5 PM.",0
"Please follow the rules.",0
"My bank account number is 0011223344",1
"cvv code for my card is 123",1
"expiry date 12/26",1
"top secret mission details",1
"internal only memo",1
"private key for the server",1
"just a regular text message",0
"I liked the food yesterday.",0
"What is your name?",0
"The car is red.",0
"My favorite color is blue.",0
"4532 5678 9101 1121",1
"cvv 456 ssn",1
"my ssn is 666-44-2222",1
"highly sensitive information",1
"restricted information",1
"private key",1
"public file",0
"generic text",0
"test data",0
